"","week","month","item_no","diff","type","total_sold"
"90",47,11,"020-307",-39.47601649259,"Predicted",39.47601649259
"91",48,11,"020-307",38.5939203200732,"Actual",80
"92",48,11,"020-307",38.5939203200732,"Predicted",41.4060796799268
"93",49,12,"020-307",-41.4192822610075,"Actual",0
"94",49,12,"020-307",-41.4192822610075,"Predicted",41.4192822610075
"95",50,12,"020-307",-37.4271323153945,"Actual",0
"96",50,12,"020-307",-37.4271323153945,"Predicted",37.4271323153945
"97",51,12,"020-307",-37.8090573694576,"Actual",0
"98",51,12,"020-307",-37.8090573694576,"Predicted",37.8090573694576
"99",52,12,"020-307",-35.9619543207112,"Actual",0
"100",52,12,"020-307",-35.9619543207112,"Predicted",35.9619543207112
"101",1,1,"020-307",-40.5921728919214,"Actual",0
"102",1,1,"020-307",-40.5921728919214,"Predicted",40.5921728919214
"103",3,1,"04002032",235.508691313364,"Actual",284
"104",3,1,"04002032",235.508691313364,"Predicted",48.4913086866355
"105",4,1,"04002032",38.3690751792973,"Actual",88
"106",4,1,"04002032",38.3690751792973,"Predicted",49.6309248207027
"107",5,1,"04002032",375.540107689566,"Actual",440
"108",5,1,"04002032",375.540107689566,"Predicted",64.4598923104338
"109",6,2,"04002032",-5.23370444142418,"Actual",60
"110",6,2,"04002032",-5.23370444142418,"Predicted",65.2337044414242
"111",7,2,"04002032",17.883707534902,"Actual",75
"112",7,2,"04002032",17.883707534902,"Predicted",57.116292465098
"113",8,2,"04002032",-56.6298482725802,"Actual",0
"114",8,2,"04002032",-56.6298482725802,"Predicted",56.6298482725802
"115",9,2,"04002032",-43.2747241298863,"Actual",0
"116",9,2,"04002032",-43.2747241298863,"Predicted",43.2747241298863
"117",10,3,"04002032",-41.6171055587962,"Actual",0
"118",10,3,"04002032",-41.6171055587962,"Predicted",41.6171055587962
"119",11,3,"04002032",-39.7080758184362,"Actual",0
"120",11,3,"04002032",-39.7080758184362,"Predicted",39.7080758184362
"121",12,3,"04002032",-39.7080758184362,"Actual",0
"122",12,3,"04002032",-39.7080758184362,"Predicted",39.7080758184362
"123",13,3,"04002032",-39.7080758184362,"Actual",0
"124",13,3,"04002032",-39.7080758184362,"Predicted",39.7080758184362
"125",14,4,"04002032",-39.2732745689995,"Actual",0
"126",14,4,"04002032",-39.2732745689995,"Predicted",39.2732745689995
"127",15,4,"04002032",-39.2732745689995,"Actual",0
"128",15,4,"04002032",-39.2732745689995,"Predicted",39.2732745689995
"129",16,4,"04002032",-39.2732745689995,"Actual",0
"130",16,4,"04002032",-39.2732745689995,"Predicted",39.2732745689995
"131",17,4,"04002032",-39.2732745689995,"Actual",0
"132",17,4,"04002032",-39.2732745689995,"Predicted",39.2732745689995
"133",18,5,"04002032",-38.8432343693648,"Actual",0
"134",18,5,"04002032",-38.8432343693648,"Predicted",38.8432343693648
"135",19,5,"04002032",-38.8432343693648,"Actual",0
"136",19,5,"04002032",-38.8432343693648,"Predicted",38.8432343693648
"137",20,5,"04002032",-38.8432343693648,"Actual",0
"138",20,5,"04002032",-38.8432343693648,"Predicted",38.8432343693648
"139",21,5,"04002032",-38.8432343693648,"Actual",0
"140",21,5,"04002032",-38.8432343693648,"Predicted",38.8432343693648
"141",22,5,"04002032",-38.8432343693648,"Actual",0
"142",22,5,"04002032",-38.8432343693648,"Predicted",38.8432343693648
