"","item_no","week","sold","year_total","best_seller","year","calendar_week","calendar_year","date","wk_ending_year","month","lag1","lag2","rolling_4wk_avg"
"1","020-307",0,0,880,0,2022,52,2021,2023-12-24,2023,12,NA,NA,NA
"2","020-307",1,80,880,0,2022,1,2022,2022-01-02,2022,1,0,NA,NA
"3","020-307",2,0,880,0,2022,2,2022,2022-01-09,2022,1,80,0,NA
"4","020-307",3,0,880,0,2022,3,2022,2022-01-16,2022,1,0,80,20
"5","020-307",4,0,880,0,2022,4,2022,2022-01-23,2022,1,0,0,20
"6","020-307",5,0,880,0,2022,5,2022,2022-01-30,2022,1,0,0,0
"7","020-307",6,0,880,0,2022,6,2022,2022-02-06,2022,2,0,0,0
"8","020-307",7,0,880,0,2022,7,2022,2022-02-13,2022,2,0,0,0
"9","020-307",8,80,880,0,2022,8,2022,2022-02-20,2022,2,0,0,20
"10","020-307",9,0,880,0,2022,9,2022,2022-02-27,2022,2,80,0,20
"11","020-307",10,0,880,0,2022,10,2022,2022-03-06,2022,3,0,80,20
"12","020-307",11,80,880,0,2022,11,2022,2022-03-13,2022,3,0,0,40
"13","020-307",12,0,880,0,2022,12,2022,2022-03-20,2022,3,80,0,20
"14","020-307",13,0,880,0,2022,13,2022,2022-03-27,2022,3,0,80,20
"15","020-307",14,0,880,0,2022,14,2022,2022-04-03,2022,4,0,0,20
"16","020-307",15,0,880,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"17","020-307",16,0,880,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"18","020-307",17,0,880,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"19","020-307",18,0,880,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"20","020-307",19,80,880,0,2022,19,2022,2022-05-08,2022,5,0,0,20
"21","020-307",20,0,880,0,2022,20,2022,2022-05-15,2022,5,80,0,20
"22","020-307",21,80,880,0,2022,21,2022,2022-05-22,2022,5,0,80,40
"23","020-307",22,0,880,0,2022,22,2022,2022-05-29,2022,5,80,0,40
"24","020-307",23,0,880,0,2022,23,2022,2022-06-05,2022,6,0,80,20
"25","020-307",24,0,880,0,2022,24,2022,2022-06-12,2022,6,0,0,20
"26","020-307",25,0,880,0,2022,25,2022,2022-06-19,2022,6,0,0,0
"27","020-307",26,0,880,0,2022,26,2022,2022-06-26,2022,6,0,0,0
"28","020-307",27,0,880,0,2022,27,2022,2022-07-03,2022,7,0,0,0
"29","020-307",28,0,880,0,2022,28,2022,2022-07-10,2022,7,0,0,0
"30","020-307",29,0,880,0,2022,29,2022,2022-07-17,2022,7,0,0,0
"31","020-307",30,80,880,0,2022,30,2022,2022-07-24,2022,7,0,0,20
"32","020-307",31,0,880,0,2022,31,2022,2022-07-31,2022,7,80,0,20
"33","020-307",32,0,880,0,2022,32,2022,2022-08-07,2022,8,0,80,20
"34","020-307",33,80,880,0,2022,33,2022,2022-08-14,2022,8,0,0,40
"35","020-307",34,0,880,0,2022,34,2022,2022-08-21,2022,8,80,0,20
"36","020-307",35,0,880,0,2022,35,2022,2022-08-28,2022,8,0,80,20
"37","020-307",36,0,880,0,2022,36,2022,2022-09-04,2022,9,0,0,20
"38","020-307",37,0,880,0,2022,37,2022,2022-09-11,2022,9,0,0,0
"39","020-307",38,0,880,0,2022,38,2022,2022-09-18,2022,9,0,0,0
"40","020-307",39,0,880,0,2022,39,2022,2022-09-25,2022,9,0,0,0
"41","020-307",40,0,880,0,2022,40,2022,2022-10-02,2022,10,0,0,0
"42","020-307",41,0,880,0,2022,41,2022,2022-10-09,2022,10,0,0,0
"43","020-307",42,0,880,0,2022,42,2022,2022-10-16,2022,10,0,0,0
"44","020-307",43,80,880,0,2022,43,2022,2022-10-23,2022,10,0,0,20
"45","020-307",44,0,880,0,2022,44,2022,2022-10-30,2022,10,80,0,20
"46","020-307",45,0,880,0,2022,45,2022,2022-11-06,2022,11,0,80,20
"47","020-307",46,160,880,0,2022,46,2022,2022-11-13,2022,11,0,0,60
"48","020-307",47,0,880,0,2022,47,2022,2022-11-20,2022,11,160,0,40
"49","020-307",48,80,880,0,2022,48,2022,2022-11-27,2022,11,0,160,60
"50","020-307",49,0,880,0,2022,49,2022,2022-12-04,2022,12,80,0,60
"51","020-307",50,0,880,0,2022,50,2022,2022-12-11,2022,12,0,80,20
"52","020-307",51,0,880,0,2022,51,2022,2022-12-18,2022,12,0,0,20
"53","020-307",52,0,880,0,2022,52,2022,2022-12-25,2022,12,0,0,0
"54","020-307",1,0,880,0,2022,1,2023,2023-01-01,2023,1,0,0,0
"55","020-502",0,0,721,0,2022,52,2021,2023-12-24,2023,12,0,0,NA
"56","020-502",1,0,721,0,2022,1,2022,2022-01-02,2022,1,0,0,NA
"57","020-502",2,0,721,0,2022,2,2022,2022-01-09,2022,1,0,0,NA
"58","020-502",3,0,721,0,2022,3,2022,2022-01-16,2022,1,0,0,0
"59","020-502",4,84,721,0,2022,4,2022,2022-01-23,2022,1,0,0,21
"60","020-502",5,0,721,0,2022,5,2022,2022-01-30,2022,1,84,0,21
"61","020-502",6,0,721,0,2022,6,2022,2022-02-06,2022,2,0,84,21
"62","020-502",7,84,721,0,2022,7,2022,2022-02-13,2022,2,0,0,42
"63","020-502",8,0,721,0,2022,8,2022,2022-02-20,2022,2,84,0,21
"64","020-502",9,0,721,0,2022,9,2022,2022-02-27,2022,2,0,84,21
"65","020-502",10,0,721,0,2022,10,2022,2022-03-06,2022,3,0,0,21
"66","020-502",11,0,721,0,2022,11,2022,2022-03-13,2022,3,0,0,0
"67","020-502",12,0,721,0,2022,12,2022,2022-03-20,2022,3,0,0,0
"68","020-502",13,0,721,0,2022,13,2022,2022-03-27,2022,3,0,0,0
"69","020-502",14,84,721,0,2022,14,2022,2022-04-03,2022,4,0,0,21
"70","020-502",15,0,721,0,2022,15,2022,2022-04-10,2022,4,84,0,21
"71","020-502",16,0,721,0,2022,16,2022,2022-04-17,2022,4,0,84,21
"72","020-502",17,0,721,0,2022,17,2022,2022-04-24,2022,4,0,0,21
"73","020-502",18,24,721,0,2022,18,2022,2022-05-01,2022,5,0,0,6
"74","020-502",19,0,721,0,2022,19,2022,2022-05-08,2022,5,24,0,6
"75","020-502",20,84,721,0,2022,20,2022,2022-05-15,2022,5,0,24,27
"76","020-502",21,0,721,0,2022,21,2022,2022-05-22,2022,5,84,0,27
"77","020-502",22,0,721,0,2022,22,2022,2022-05-29,2022,5,0,84,21
"78","020-502",23,0,721,0,2022,23,2022,2022-06-05,2022,6,0,0,21
"79","020-502",24,0,721,0,2022,24,2022,2022-06-12,2022,6,0,0,0
"80","020-502",25,0,721,0,2022,25,2022,2022-06-19,2022,6,0,0,0
"81","020-502",26,0,721,0,2022,26,2022,2022-06-26,2022,6,0,0,0
"82","020-502",27,0,721,0,2022,27,2022,2022-07-03,2022,7,0,0,0
"83","020-502",28,84,721,0,2022,28,2022,2022-07-10,2022,7,0,0,21
"84","020-502",29,18,721,0,2022,29,2022,2022-07-17,2022,7,84,0,25.5
"85","020-502",30,0,721,0,2022,30,2022,2022-07-24,2022,7,18,84,25.5
"86","020-502",31,0,721,0,2022,31,2022,2022-07-31,2022,7,0,18,25.5
"87","020-502",32,0,721,0,2022,32,2022,2022-08-07,2022,8,0,0,4.5
"88","020-502",33,0,721,0,2022,33,2022,2022-08-14,2022,8,0,0,0
"89","020-502",34,0,721,0,2022,34,2022,2022-08-21,2022,8,0,0,0
"90","020-502",35,36,721,0,2022,35,2022,2022-08-28,2022,8,0,0,9
"91","020-502",36,0,721,0,2022,36,2022,2022-09-04,2022,9,36,0,9
"92","020-502",37,0,721,0,2022,37,2022,2022-09-11,2022,9,0,36,9
"93","020-502",38,0,721,0,2022,38,2022,2022-09-18,2022,9,0,0,9
"94","020-502",39,84,721,0,2022,39,2022,2022-09-25,2022,9,0,0,21
"95","020-502",40,0,721,0,2022,40,2022,2022-10-02,2022,10,84,0,21
"96","020-502",41,0,721,0,2022,41,2022,2022-10-09,2022,10,0,84,21
"97","020-502",42,0,721,0,2022,42,2022,2022-10-16,2022,10,0,0,21
"98","020-502",43,55,721,0,2022,43,2022,2022-10-23,2022,10,0,0,13.75
"99","020-502",44,0,721,0,2022,44,2022,2022-10-30,2022,10,55,0,13.75
"100","020-502",45,0,721,0,2022,45,2022,2022-11-06,2022,11,0,55,13.75
"101","020-502",46,0,721,0,2022,46,2022,2022-11-13,2022,11,0,0,13.75
"102","020-502",47,0,721,0,2022,47,2022,2022-11-20,2022,11,0,0,0
"103","020-502",48,0,721,0,2022,48,2022,2022-11-27,2022,11,0,0,0
"104","020-502",49,0,721,0,2022,49,2022,2022-12-04,2022,12,0,0,0
"105","020-502",50,0,721,0,2022,50,2022,2022-12-11,2022,12,0,0,0
"106","020-502",51,84,721,0,2022,51,2022,2022-12-18,2022,12,0,0,21
"107","020-502",52,0,721,0,2022,52,2022,2022-12-25,2022,12,84,0,21
"108","020-502",1,0,721,0,2022,1,2023,2023-01-01,2023,1,0,84,21
"109","025-207",0,0,1200,0,2022,52,2021,2023-12-24,2023,12,0,0,NA
"110","025-207",1,100,1200,0,2022,1,2022,2022-01-02,2022,1,0,0,NA
"111","025-207",2,0,1200,0,2022,2,2022,2022-01-09,2022,1,100,0,NA
"112","025-207",3,0,1200,0,2022,3,2022,2022-01-16,2022,1,0,100,25
"113","025-207",4,0,1200,0,2022,4,2022,2022-01-23,2022,1,0,0,25
"114","025-207",5,0,1200,0,2022,5,2022,2022-01-30,2022,1,0,0,0
"115","025-207",6,0,1200,0,2022,6,2022,2022-02-06,2022,2,0,0,0
"116","025-207",7,0,1200,0,2022,7,2022,2022-02-13,2022,2,0,0,0
"117","025-207",8,100,1200,0,2022,8,2022,2022-02-20,2022,2,0,0,25
"118","025-207",9,0,1200,0,2022,9,2022,2022-02-27,2022,2,100,0,25
"119","025-207",10,0,1200,0,2022,10,2022,2022-03-06,2022,3,0,100,25
"120","025-207",11,100,1200,0,2022,11,2022,2022-03-13,2022,3,0,0,50
"121","025-207",12,0,1200,0,2022,12,2022,2022-03-20,2022,3,100,0,25
"122","025-207",13,0,1200,0,2022,13,2022,2022-03-27,2022,3,0,100,25
"123","025-207",14,0,1200,0,2022,14,2022,2022-04-03,2022,4,0,0,25
"124","025-207",15,0,1200,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"125","025-207",16,0,1200,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"126","025-207",17,0,1200,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"127","025-207",18,0,1200,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"128","025-207",19,100,1200,0,2022,19,2022,2022-05-08,2022,5,0,0,25
"129","025-207",20,0,1200,0,2022,20,2022,2022-05-15,2022,5,100,0,25
"130","025-207",21,100,1200,0,2022,21,2022,2022-05-22,2022,5,0,100,50
"131","025-207",22,0,1200,0,2022,22,2022,2022-05-29,2022,5,100,0,50
"132","025-207",23,0,1200,0,2022,23,2022,2022-06-05,2022,6,0,100,25
"133","025-207",24,0,1200,0,2022,24,2022,2022-06-12,2022,6,0,0,25
"134","025-207",25,0,1200,0,2022,25,2022,2022-06-19,2022,6,0,0,0
"135","025-207",26,0,1200,0,2022,26,2022,2022-06-26,2022,6,0,0,0
"136","025-207",27,0,1200,0,2022,27,2022,2022-07-03,2022,7,0,0,0
"137","025-207",28,0,1200,0,2022,28,2022,2022-07-10,2022,7,0,0,0
"138","025-207",29,0,1200,0,2022,29,2022,2022-07-17,2022,7,0,0,0
"139","025-207",30,100,1200,0,2022,30,2022,2022-07-24,2022,7,0,0,25
"140","025-207",31,0,1200,0,2022,31,2022,2022-07-31,2022,7,100,0,25
"141","025-207",32,0,1200,0,2022,32,2022,2022-08-07,2022,8,0,100,25
"142","025-207",33,100,1200,0,2022,33,2022,2022-08-14,2022,8,0,0,50
"143","025-207",34,0,1200,0,2022,34,2022,2022-08-21,2022,8,100,0,25
"144","025-207",35,0,1200,0,2022,35,2022,2022-08-28,2022,8,0,100,25
"145","025-207",36,0,1200,0,2022,36,2022,2022-09-04,2022,9,0,0,25
"146","025-207",37,100,1200,0,2022,37,2022,2022-09-11,2022,9,0,0,25
"147","025-207",38,0,1200,0,2022,38,2022,2022-09-18,2022,9,100,0,25
"148","025-207",39,0,1200,0,2022,39,2022,2022-09-25,2022,9,0,100,25
"149","025-207",40,0,1200,0,2022,40,2022,2022-10-02,2022,10,0,0,25
"150","025-207",41,0,1200,0,2022,41,2022,2022-10-09,2022,10,0,0,0
"151","025-207",42,0,1200,0,2022,42,2022,2022-10-16,2022,10,0,0,0
"152","025-207",43,100,1200,0,2022,43,2022,2022-10-23,2022,10,0,0,25
"153","025-207",44,0,1200,0,2022,44,2022,2022-10-30,2022,10,100,0,25
"154","025-207",45,0,1200,0,2022,45,2022,2022-11-06,2022,11,0,100,25
"155","025-207",46,200,1200,0,2022,46,2022,2022-11-13,2022,11,0,0,75
"156","025-207",47,0,1200,0,2022,47,2022,2022-11-20,2022,11,200,0,50
"157","025-207",48,100,1200,0,2022,48,2022,2022-11-27,2022,11,0,200,75
"158","025-207",49,0,1200,0,2022,49,2022,2022-12-04,2022,12,100,0,75
"159","025-207",50,0,1200,0,2022,50,2022,2022-12-11,2022,12,0,100,25
"160","025-207",51,0,1200,0,2022,51,2022,2022-12-18,2022,12,0,0,25
"161","025-207",52,0,1200,0,2022,52,2022,2022-12-25,2022,12,0,0,0
"162","025-207",1,0,1200,0,2022,1,2023,2023-01-01,2023,1,0,0,0
"163","02FR182024",0,0,720,0,2022,52,2021,2023-12-24,2023,12,0,0,NA
"164","02FR182024",1,0,720,0,2022,1,2022,2022-01-02,2022,1,0,0,NA
"165","02FR182024",2,0,720,0,2022,2,2022,2022-01-09,2022,1,0,0,NA
"166","02FR182024",3,0,720,0,2022,3,2022,2022-01-16,2022,1,0,0,0
"167","02FR182024",4,0,720,0,2022,4,2022,2022-01-23,2022,1,0,0,0
"168","02FR182024",5,0,720,0,2022,5,2022,2022-01-30,2022,1,0,0,0
"169","02FR182024",6,0,720,0,2022,6,2022,2022-02-06,2022,2,0,0,0
"170","02FR182024",7,0,720,0,2022,7,2022,2022-02-13,2022,2,0,0,0
"171","02FR182024",8,0,720,0,2022,8,2022,2022-02-20,2022,2,0,0,0
"172","02FR182024",9,0,720,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"173","02FR182024",10,0,720,0,2022,10,2022,2022-03-06,2022,3,0,0,0
"174","02FR182024",11,0,720,0,2022,11,2022,2022-03-13,2022,3,0,0,0
"175","02FR182024",12,0,720,0,2022,12,2022,2022-03-20,2022,3,0,0,0
"176","02FR182024",13,0,720,0,2022,13,2022,2022-03-27,2022,3,0,0,0
"177","02FR182024",14,0,720,0,2022,14,2022,2022-04-03,2022,4,0,0,0
"178","02FR182024",15,0,720,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"179","02FR182024",16,0,720,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"180","02FR182024",17,0,720,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"181","02FR182024",18,0,720,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"182","02FR182024",19,0,720,0,2022,19,2022,2022-05-08,2022,5,0,0,0
"183","02FR182024",20,0,720,0,2022,20,2022,2022-05-15,2022,5,0,0,0
"184","02FR182024",21,0,720,0,2022,21,2022,2022-05-22,2022,5,0,0,0
"185","02FR182024",22,0,720,0,2022,22,2022,2022-05-29,2022,5,0,0,0
"186","02FR182024",23,0,720,0,2022,23,2022,2022-06-05,2022,6,0,0,0
"187","02FR182024",24,0,720,0,2022,24,2022,2022-06-12,2022,6,0,0,0
"188","02FR182024",25,0,720,0,2022,25,2022,2022-06-19,2022,6,0,0,0
"189","02FR182024",26,0,720,0,2022,26,2022,2022-06-26,2022,6,0,0,0
"190","02FR182024",27,0,720,0,2022,27,2022,2022-07-03,2022,7,0,0,0
"191","02FR182024",28,0,720,0,2022,28,2022,2022-07-10,2022,7,0,0,0
"192","02FR182024",29,0,720,0,2022,29,2022,2022-07-17,2022,7,0,0,0
"193","02FR182024",30,0,720,0,2022,30,2022,2022-07-24,2022,7,0,0,0
"194","02FR182024",31,0,720,0,2022,31,2022,2022-07-31,2022,7,0,0,0
"195","02FR182024",32,0,720,0,2022,32,2022,2022-08-07,2022,8,0,0,0
"196","02FR182024",33,0,720,0,2022,33,2022,2022-08-14,2022,8,0,0,0
"197","02FR182024",34,0,720,0,2022,34,2022,2022-08-21,2022,8,0,0,0
"198","02FR182024",35,0,720,0,2022,35,2022,2022-08-28,2022,8,0,0,0
"199","02FR182024",36,0,720,0,2022,36,2022,2022-09-04,2022,9,0,0,0
"200","02FR182024",37,0,720,0,2022,37,2022,2022-09-11,2022,9,0,0,0
"201","02FR182024",38,0,720,0,2022,38,2022,2022-09-18,2022,9,0,0,0
"202","02FR182024",39,0,720,0,2022,39,2022,2022-09-25,2022,9,0,0,0
"203","02FR182024",40,0,720,0,2022,40,2022,2022-10-02,2022,10,0,0,0
"204","02FR182024",41,0,720,0,2022,41,2022,2022-10-09,2022,10,0,0,0
"205","02FR182024",42,0,720,0,2022,42,2022,2022-10-16,2022,10,0,0,0
"206","02FR182024",43,0,720,0,2022,43,2022,2022-10-23,2022,10,0,0,0
"207","02FR182024",44,0,720,0,2022,44,2022,2022-10-30,2022,10,0,0,0
"208","02FR182024",45,0,720,0,2022,45,2022,2022-11-06,2022,11,0,0,0
"209","02FR182024",46,0,720,0,2022,46,2022,2022-11-13,2022,11,0,0,0
"210","02FR182024",47,0,720,0,2022,47,2022,2022-11-20,2022,11,0,0,0
"211","02FR182024",48,0,720,0,2022,48,2022,2022-11-27,2022,11,0,0,0
"212","02FR182024",49,0,720,0,2022,49,2022,2022-12-04,2022,12,0,0,0
"213","02FR182024",50,0,720,0,2022,50,2022,2022-12-11,2022,12,0,0,0
"214","02FR182024",51,0,720,0,2022,51,2022,2022-12-18,2022,12,0,0,0
"215","02FR182024",52,0,720,0,2022,52,2022,2022-12-25,2022,12,0,0,0
"216","02FR182024",1,720,720,0,2022,1,2023,2023-01-01,2023,1,0,0,180
"217","04002032",0,0,1245,0,2022,52,2021,2023-12-24,2023,12,720,0,NA
"218","04002032",1,0,1245,0,2022,1,2022,2022-01-02,2022,1,0,720,NA
"219","04002032",2,0,1245,0,2022,2,2022,2022-01-09,2022,1,0,0,NA
"220","04002032",3,284,1245,0,2022,3,2022,2022-01-16,2022,1,0,0,71
"221","04002032",4,88,1245,0,2022,4,2022,2022-01-23,2022,1,284,0,93
"222","04002032",5,440,1245,0,2022,5,2022,2022-01-30,2022,1,88,284,203
"223","04002032",6,60,1245,0,2022,6,2022,2022-02-06,2022,2,440,88,218
"224","04002032",7,75,1245,0,2022,7,2022,2022-02-13,2022,2,60,440,165.75
"225","04002032",8,0,1245,0,2022,8,2022,2022-02-20,2022,2,75,60,143.75
"226","04002032",9,0,1245,0,2022,9,2022,2022-02-27,2022,2,0,75,33.75
"227","04002032",10,0,1245,0,2022,10,2022,2022-03-06,2022,3,0,0,18.75
"228","04002032",11,0,1245,0,2022,11,2022,2022-03-13,2022,3,0,0,0
"229","04002032",12,0,1245,0,2022,12,2022,2022-03-20,2022,3,0,0,0
"230","04002032",13,0,1245,0,2022,13,2022,2022-03-27,2022,3,0,0,0
"231","04002032",14,0,1245,0,2022,14,2022,2022-04-03,2022,4,0,0,0
"232","04002032",15,0,1245,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"233","04002032",16,0,1245,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"234","04002032",17,0,1245,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"235","04002032",18,0,1245,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"236","04002032",19,0,1245,0,2022,19,2022,2022-05-08,2022,5,0,0,0
"237","04002032",20,0,1245,0,2022,20,2022,2022-05-15,2022,5,0,0,0
"238","04002032",21,0,1245,0,2022,21,2022,2022-05-22,2022,5,0,0,0
"239","04002032",22,0,1245,0,2022,22,2022,2022-05-29,2022,5,0,0,0
"240","04002032",23,0,1245,0,2022,23,2022,2022-06-05,2022,6,0,0,0
"241","04002032",24,80,1245,0,2022,24,2022,2022-06-12,2022,6,0,0,20
"242","04002032",25,0,1245,0,2022,25,2022,2022-06-19,2022,6,80,0,20
"243","04002032",26,0,1245,0,2022,26,2022,2022-06-26,2022,6,0,80,20
"244","04002032",27,0,1245,0,2022,27,2022,2022-07-03,2022,7,0,0,20
"245","04002032",28,0,1245,0,2022,28,2022,2022-07-10,2022,7,0,0,0
"246","04002032",29,0,1245,0,2022,29,2022,2022-07-17,2022,7,0,0,0
"247","04002032",30,0,1245,0,2022,30,2022,2022-07-24,2022,7,0,0,0
"248","04002032",31,0,1245,0,2022,31,2022,2022-07-31,2022,7,0,0,0
"249","04002032",32,0,1245,0,2022,32,2022,2022-08-07,2022,8,0,0,0
"250","04002032",33,0,1245,0,2022,33,2022,2022-08-14,2022,8,0,0,0
"251","04002032",34,0,1245,0,2022,34,2022,2022-08-21,2022,8,0,0,0
"252","04002032",35,0,1245,0,2022,35,2022,2022-08-28,2022,8,0,0,0
"253","04002032",36,0,1245,0,2022,36,2022,2022-09-04,2022,9,0,0,0
"254","04002032",37,0,1245,0,2022,37,2022,2022-09-11,2022,9,0,0,0
"255","04002032",38,0,1245,0,2022,38,2022,2022-09-18,2022,9,0,0,0
"256","04002032",39,0,1245,0,2022,39,2022,2022-09-25,2022,9,0,0,0
"257","04002032",40,0,1245,0,2022,40,2022,2022-10-02,2022,10,0,0,0
"258","04002032",41,0,1245,0,2022,41,2022,2022-10-09,2022,10,0,0,0
"259","04002032",42,0,1245,0,2022,42,2022,2022-10-16,2022,10,0,0,0
"260","04002032",43,0,1245,0,2022,43,2022,2022-10-23,2022,10,0,0,0
"261","04002032",44,0,1245,0,2022,44,2022,2022-10-30,2022,10,0,0,0
"262","04002032",45,0,1245,0,2022,45,2022,2022-11-06,2022,11,0,0,0
"263","04002032",46,0,1245,0,2022,46,2022,2022-11-13,2022,11,0,0,0
"264","04002032",47,0,1245,0,2022,47,2022,2022-11-20,2022,11,0,0,0
"265","04002032",48,0,1245,0,2022,48,2022,2022-11-27,2022,11,0,0,0
"266","04002032",49,0,1245,0,2022,49,2022,2022-12-04,2022,12,0,0,0
"267","04002032",50,0,1245,0,2022,50,2022,2022-12-11,2022,12,0,0,0
"268","04002032",51,218,1245,0,2022,51,2022,2022-12-18,2022,12,0,0,54.5
"269","04002032",52,0,1245,0,2022,52,2022,2022-12-25,2022,12,218,0,54.5
"270","04002032",1,0,1245,0,2022,1,2023,2023-01-01,2023,1,0,218,54.5
"271","04120002",0,0,736,0,2022,52,2021,2023-12-24,2023,12,0,0,NA
"272","04120002",1,0,736,0,2022,1,2022,2022-01-02,2022,1,0,0,NA
"273","04120002",2,0,736,0,2022,2,2022,2022-01-09,2022,1,0,0,NA
"274","04120002",3,0,736,0,2022,3,2022,2022-01-16,2022,1,0,0,0
"275","04120002",4,0,736,0,2022,4,2022,2022-01-23,2022,1,0,0,0
"276","04120002",5,0,736,0,2022,5,2022,2022-01-30,2022,1,0,0,0
"277","04120002",6,0,736,0,2022,6,2022,2022-02-06,2022,2,0,0,0
"278","04120002",7,0,736,0,2022,7,2022,2022-02-13,2022,2,0,0,0
"279","04120002",8,0,736,0,2022,8,2022,2022-02-20,2022,2,0,0,0
"280","04120002",9,0,736,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"281","04120002",10,0,736,0,2022,10,2022,2022-03-06,2022,3,0,0,0
"282","04120002",11,0,736,0,2022,11,2022,2022-03-13,2022,3,0,0,0
"283","04120002",12,0,736,0,2022,12,2022,2022-03-20,2022,3,0,0,0
"284","04120002",13,0,736,0,2022,13,2022,2022-03-27,2022,3,0,0,0
"285","04120002",14,0,736,0,2022,14,2022,2022-04-03,2022,4,0,0,0
"286","04120002",15,0,736,0,2022,15,2022,2022-04-10,2022,4,0,0,0
"287","04120002",16,0,736,0,2022,16,2022,2022-04-17,2022,4,0,0,0
"288","04120002",17,0,736,0,2022,17,2022,2022-04-24,2022,4,0,0,0
"289","04120002",18,0,736,0,2022,18,2022,2022-05-01,2022,5,0,0,0
"290","04120002",19,0,736,0,2022,19,2022,2022-05-08,2022,5,0,0,0
"291","04120002",20,40,736,0,2022,20,2022,2022-05-15,2022,5,0,0,10
"292","04120002",21,10,736,0,2022,21,2022,2022-05-22,2022,5,40,0,12.5
"293","04120002",22,0,736,0,2022,22,2022,2022-05-29,2022,5,10,40,12.5
"294","04120002",23,0,736,0,2022,23,2022,2022-06-05,2022,6,0,10,12.5
"295","04120002",24,278,736,0,2022,24,2022,2022-06-12,2022,6,0,0,72
"296","04120002",25,0,736,0,2022,25,2022,2022-06-19,2022,6,278,0,69.5
"297","04120002",26,0,736,0,2022,26,2022,2022-06-26,2022,6,0,278,69.5
"298","04120002",27,0,736,0,2022,27,2022,2022-07-03,2022,7,0,0,69.5
"299","04120002",28,288,736,0,2022,28,2022,2022-07-10,2022,7,0,0,72
"300","04120002",29,120,736,0,2022,29,2022,2022-07-17,2022,7,288,0,102
"301","04120002",30,0,736,0,2022,30,2022,2022-07-24,2022,7,120,288,102
"302","04120002",31,0,736,0,2022,31,2022,2022-07-31,2022,7,0,120,102
"303","04120002",32,0,736,0,2022,32,2022,2022-08-07,2022,8,0,0,30
"304","04120002",33,0,736,0,2022,33,2022,2022-08-14,2022,8,0,0,0
"305","04120002",34,0,736,0,2022,34,2022,2022-08-21,2022,8,0,0,0
"306","04120002",35,0,736,0,2022,35,2022,2022-08-28,2022,8,0,0,0
"307","04120002",36,0,736,0,2022,36,2022,2022-09-04,2022,9,0,0,0
"308","04120002",37,0,736,0,2022,37,2022,2022-09-11,2022,9,0,0,0
"309","04120002",38,0,736,0,2022,38,2022,2022-09-18,2022,9,0,0,0
"310","04120002",39,0,736,0,2022,39,2022,2022-09-25,2022,9,0,0,0
"311","04120002",40,0,736,0,2022,40,2022,2022-10-02,2022,10,0,0,0
"312","04120002",41,0,736,0,2022,41,2022,2022-10-09,2022,10,0,0,0
"313","04120002",42,0,736,0,2022,42,2022,2022-10-16,2022,10,0,0,0
"314","04120002",43,0,736,0,2022,43,2022,2022-10-23,2022,10,0,0,0
"315","04120002",44,0,736,0,2022,44,2022,2022-10-30,2022,10,0,0,0
"316","04120002",45,0,736,0,2022,45,2022,2022-11-06,2022,11,0,0,0
"317","04120002",46,0,736,0,2022,46,2022,2022-11-13,2022,11,0,0,0
"318","04120002",47,0,736,0,2022,47,2022,2022-11-20,2022,11,0,0,0
"319","04120002",48,0,736,0,2022,48,2022,2022-11-27,2022,11,0,0,0
"320","04120002",49,0,736,0,2022,49,2022,2022-12-04,2022,12,0,0,0
"321","04120002",50,0,736,0,2022,50,2022,2022-12-11,2022,12,0,0,0
"322","04120002",51,0,736,0,2022,51,2022,2022-12-18,2022,12,0,0,0
"323","04120002",52,0,736,0,2022,52,2022,2022-12-25,2022,12,0,0,0
"324","04120002",1,0,736,0,2022,1,2023,2023-01-01,2023,1,0,0,0
"325","0822203",0,0,1300,0,2022,52,2021,2023-12-24,2023,12,0,0,NA
"326","0822203",1,0,1300,0,2022,1,2022,2022-01-02,2022,1,0,0,NA
"327","0822203",2,0,1300,0,2022,2,2022,2022-01-09,2022,1,0,0,NA
"328","0822203",3,100,1300,0,2022,3,2022,2022-01-16,2022,1,0,0,25
"329","0822203",4,0,1300,0,2022,4,2022,2022-01-23,2022,1,100,0,25
"330","0822203",5,0,1300,0,2022,5,2022,2022-01-30,2022,1,0,100,25
"331","0822203",6,0,1300,0,2022,6,2022,2022-02-06,2022,2,0,0,25
"332","0822203",7,0,1300,0,2022,7,2022,2022-02-13,2022,2,0,0,0
