"",".pred","item_no","week","sold","year_total","best_seller","year","calendar_week","calendar_year","date","wk_ending_year","month","lag1","lag2","rolling_4wk_avg"
"52",30.8813478519387,"2090-23.535.5",9,0,526,0,2022,9,2022,2022-02-27,2022,2,0,256,64
"53",29.2506106328479,"221924048-1742",9,24,984,0,2022,9,2022,2022-02-27,2022,2,0,24,12
"54",29.0506594666726,"2242BKGPF",9,0,900,0,2022,9,2022,2022-02-27,2022,2,0,50,12.5
"55",28.6229364867831,"23R30SXC",9,0,660,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"56",28.6229364867831,"240001224",9,0,2275,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"57",33.5210696359402,"250002024",9,96,576,0,2022,9,2022,2022-02-27,2022,2,0,336,108
"58",29.0430932083539,"250002424",9,0,927,0,2022,9,2022,2022-02-27,2022,2,0,0,6
"59",29.4847740670588,"2536BKFMP18",9,0,1625,0,2022,9,2022,2022-02-27,2022,2,0,100,25
"60",30.3409317720704,"255002020",9,24,2740,0,2022,9,2022,2022-02-27,2022,2,0,0,24
"61",126.433894498995,"255002424",9,24,10937,1,2022,9,2022,2022-02-27,2022,2,0,60,21
"62",28.6229364867831,"260002424",9,0,840,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"63",29.4847740670588,"2780BKFMP18",9,0,2810,0,2022,9,2022,2022-02-27,2022,2,0,100,25
"64",122.406551628171,"299242401",9,0,6504,1,2022,9,2022,2022-02-27,2022,2,0,0,0
"65",33.2663390918112,"304070315",9,240,853,0,2022,9,2022,2022-02-27,2022,2,42,0,70.5
"66",30.4147109999066,"305 OSU2P20209",9,100,2472,0,2022,9,2022,2022-02-27,2022,2,0,0,25
"67",31.2870804573176,"3440BKFMP18",9,0,5050,0,2022,9,2022,2022-02-27,2022,2,0,300,75
"68",29.0059859303577,"354 RTPD1921",9,0,1294,0,2022,9,2022,2022-02-27,2022,2,121,0,30.25
"69",122.406551628171,"41169",9,0,6000,1,2022,9,2022,2022-02-27,2022,2,0,0,0
"70",136.621511445432,"41250",9,0,11000,1,2022,9,2022,2022-02-27,2022,2,1000,0,250
"71",28.6229364867831,"4242BKGPF",9,0,850,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"72",29.449655974625,"440-005-5",9,10,1405,0,2022,9,2022,2022-02-27,2022,2,40,30,23.75
"73",42.3426403961979,"440-908",9,0,1320,0,2022,9,2022,2022-02-27,2022,2,0,1320,330
"74",28.6229364867831,"440-945",9,0,1986,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"75",28.7111237265396,"4L154-1624",9,0,618,0,2022,9,2022,2022-02-27,2022,2,28,0,7
"76",28.6229364867831,"4MBTST-1117",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"77",28.6229364867831,"4MBTST-2424",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"78",28.6229364867831,"5HD/AS/22",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"79",31.7546147122822,"69850",9,0,2800,0,2022,9,2022,2022-02-27,2022,2,0,350,87.5
"80",28.6229364867831,"6MBTST-PD-8781234",9,0,1500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"81",28.9264255766958,"865-000",9,0,565,0,2022,9,2022,2022-02-27,2022,2,96,0,24
"82",28.6229364867831,"865-006",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"83",28.7591181937817,"900-191636",9,0,1084,0,2022,9,2022,2022-02-27,2022,2,0,16,4
"84",28.6229364867831,"A-AP5P2P-WE",9,0,1350,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"85",7757.37153311599,"A510004",9,2700,75047,1,2022,9,2022,2022-02-27,2022,2,3500,0,2425
"86",28.6229364867831,"A510011",9,0,550,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"87",28.6229364867831,"ACT-2-726",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"88",36.6082568205923,"ACT-203",9,48,4170,0,2022,9,2022,2022-02-27,2022,2,0,240,132
"89",32.9842935235171,"ACT-205",9,72,2075,0,2022,9,2022,2022-02-27,2022,2,168,72,102
"90",28.6229364867831,"AF-1.875X5SS/HC",9,0,960,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"91",28.6229364867831,"AF-1658-CGW-16S",9,0,2200,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"92",28.6229364867831,"AF-1758-5.125SB",9,0,2450,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"93",33.536111403713,"AF-2773",9,0,1032,0,2022,9,2022,2022-02-27,2022,2,0,534,133.5
"94",29.582066809129,"AF-36X6.25SB-HPA",9,0,900,0,2022,9,2022,2022-02-27,2022,2,300,0,75
"95",31.54317450029,"AL400B",9,160,1120,0,2022,9,2022,2022-02-27,2022,2,0,0,40
"96",28.6229364867831,"AO0507225R",9,0,800,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"97",28.6229364867831,"AP150P65SHS",9,0,750,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"98",28.6229364867831,"AP1SH2P-WE",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"99",29.1561522785133,"AP400-30AN-DX",9,0,1440,0,2022,9,2022,2022-02-27,2022,2,168,0,42
"100",28.6229364867831,"AS1324242208",9,0,500,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"101",28.6229364867831,"AS1324242608",9,0,1560,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"102",29.8657098798619,"AS1420201205",9,70,980,0,2022,9,2022,2022-02-27,2022,2,0,0,17.5
"103",28.6229364867831,"AS1424242608F",9,0,928,0,2022,9,2022,2022-02-27,2022,2,0,0,0
"104",30.4147109999066,"AS20016RD04.500",9,0,600,0,2022,9,2022,2022-02-27,2022,2,0,0,25
"105",34.3417726448385,"AS20016RD04.562",9,0,1500,0,2022,9,2022,2022-02-27,2022,2,0,0,75
"106",38.7758854060259,"AS30012RD04.562",9,0,1600,0,2022,9,2022,2022-02-27,2022,2,0,0,125
"107",32.318649263502,"AS40010RD04.500",9,0,700,0,2022,9,2022,2022-02-27,2022,2,0,0,50
